Batsman Name,Runs,Balls,4s,6s,Strike Rates
Shamarh Brooks,4,9,0,0,44.44
Rovman Powell,5,6,0,0,83.33
Jason Holder,38,33,4,1,115.15
Akeal Hosein,1,1,0,0,100.00
Alzarri Joseph,0,1,0,0,0.00
Odean Smith,5,8,0,0,62.50
Obed McCoy,2,3,0,0,66.66
Chirag Suri,12,20,1,0,60.00
Muhammad Waseem,41,47,1,2,87.23
Kashif Daud,15,14,0,1,107.14
Vriitya Aravind †,18,21,0,0,85.71
Zawar Farid,2,4,0,0,50.00
Basil Hameed,4,4,1,0,100.00
CP Rizwan (c),1,2,0,0,50.00
Aayan Afzal Khan,5,7,0,0,71.42
Karthik Meiyappan,0,0,0,0,0
Junaid Siddique,0,1,0,0,0.00
Vikramjit Singh,10,7,2,0,142.85
Max O'Dowd,23,18,3,1,127.77
Bas de Leede,14,18,1,0,77.77
Colin Ackermann,17,19,1,0,89.47
Tom Cooper,8,16,0,0,50.00
Scott Edwards (c)†,16,19,0,0,84.21
Roelof van der Merwe,0,2,0,0,0.00
Tim Pringle,15,16,0,0,93.75
Logan van Beek,4,4,0,0,100.00
Michael van Lingen,3,6,0,0,50.00
Divan la Cock,9,9,1,0,100.00
Jan Nicol Loftie-Eaton,20,12,1,2,166.66
Stephan Baard,26,24,2,0,108.33
Gerhard Erasmus (c),20,24,0,0,83.33
Jan Frylinck,44,28,4,0,157.14
David Wiese,0,1,0,0,0.00
JJ Smit,31,16,2,2,193.75
Pathum Nissanka,9,10,1,0,90.00
Kusal Mendis †,6,6,0,0,100.00
Dhananjaya de Silva,12,11,1,0,109.09
Danushka Gunathilaka,0,1,0,0,0.00
Bhanuka Rajapaksa,20,21,2,0,95.23
Dasun Shanaka (c),29,23,2,1,126.08
Wanindu Hasaranga,4,8,0,0,50.00
Chamika Karunaratne,5,8,0,0,62.50
Pramod Madushan,0,0,0,0,0
Dushmantha Chameera,8,15,0,0,53.33
Maheesh Theekshana,11,11,0,1,100.00
